"","adaptive capacity","agricultural water use","biodiversity","ecosystem services","environmental disturbance regimes","forest management approaches and the wildfire response","formal legal governance, policy, and policy innovations","incorporation of traditional watershed knowledges into broader understanding and approaches","informal governance","infrastructure","land use and land cover","municipal water use","public watershed education approaches and knowledge","social capital including trust, collaboration, and partnership","soil structure and function","technical innovations","water quality, quantity, and availability","watershed economics","weather and climate regimes","the wildfire regime"
"agricultural water use",0.752772652709081,NA,0.666666666666667,0.899735410842437,0.755928946018455,0.836660026534076,0.755928946018454,0.816496580927726,0.577350269189626,0.752772652709081,0.547722557505166,0.707106781186547,0.534522483824849,0.640869944461656,1.09544511501033,0.755928946018454,0.462910049886276,0.894427190999916,0.52704627669473,0.632455532033676
"biodiversity",0.632455532033676,0.377964473009227,NA,0.816496580927726,0.377964473009227,0.632455532033676,0.755928946018454,0.516397779494322,0.755928946018455,0.408248290463863,0.547722557505166,0.5,0.690065559342354,0.462910049886276,0.816496580927726,0.640869944461656,0.353553390593274,0.547722557505166,0.440958551844098,0.516397779494322
"ecosystem services",0.983192080250175,0.577350269189626,0.726483157256779,NA,0.487950036474267,0.816496580927726,0.640869944461656,0.836660026534076,0.786795792469443,0.408248290463863,0.547722557505166,0.781735959970572,0.786795792469443,0.462910049886276,0.816496580927726,0.517549169506766,0.462910049886276,0.547722557505166,0.440958551844098,0.408248290463863
"environmental disturbance regimes",0.983192080250175,0.690065559342354,0.781735959970572,0.534522483824849,NA,0.894427190999916,0.534522483824849,0.816496580927726,0.534522483824849,0.547722557505166,0.547722557505166,0.52704627669473,0.786795792469443,0.83452296039628,0.894427190999916,0.755928946018454,0.707106781186548,0.547722557505166,0.52704627669473,0.894427190999916
"forest management approaches and the wildfire response",0.894427190999916,0.487950036474267,0.5,0.755928946018455,0.377964473009227,NA,0.744023809142845,0.894427190999916,0.899735410842437,0.816496580927726,0.447213595499958,0.707106781186548,0.786795792469443,0.707106781186548,0.752772652709081,0.83452296039628,0.517549169506766,0.547722557505166,0.707106781186547,0.408248290463863
"formal legal governance, policy, and policy innovations",0.983192080250175,0.816496580927726,0.600925212577332,0.975900072948533,0.534522483824849,1.03279555898864,NA,0.547722557505166,1,0.547722557505166,0.894427190999916,0.600925212577332,1,0.886405260427918,0.408248290463863,0.744023809142845,0.83452296039628,0.836660026534076,0.707106781186548,0.547722557505166
"incorporation of traditional watershed knowledges into broader understanding and approaches",0.894427190999916,0.534522483824849,0.52704627669473,0.786795792469443,0.690065559342354,0.836660026534076,0.755928946018454,NA,1.0690449676497,0.547722557505166,0.547722557505166,0.52704627669473,1.0690449676497,0.744023809142845,0.408248290463863,0.640869944461656,0.83452296039628,0.547722557505166,0.5,0.547722557505166
"informal governance",0.983192080250175,0.690065559342354,0.707106781186548,0.786795792469443,0.534522483824849,0.752772652709081,0.916125381312904,0.816496580927726,NA,0.516397779494322,0.547722557505166,0.52704627669473,1.0690449676497,0.353553390593274,0.547722557505166,0.83452296039628,0.744023809142845,0.547722557505166,0.781735959970572,0.408248290463863
"infrastructure",0.752772652709081,0.816496580927726,0.866025403784439,0.975900072948533,0.487950036474267,0.516397779494322,0.640869944461656,0.547722557505166,0.534522483824849,NA,0.707106781186548,0.781735959970572,0.487950036474267,0.462910049886276,0.408248290463863,0.755928946018454,0.83452296039628,1,0.781735959970572,0.752772652709081
"land use and land cover",0.894427190999916,0.786795792469443,0.707106781186548,0.899735410842437,0.534522483824849,0.816496580927726,0.755928946018454,0.632455532033676,0.755928946018455,0.516397779494322,NA,0.5,0.534522483824849,0.755928946018454,0.816496580927726,0.640869944461656,0.517549169506766,1,0.707106781186547,0.516397779494322
"municipal water use",1.16904519445001,0.786795792469443,0.97182531580755,0.690065559342354,0.377964473009227,0.516397779494322,0.744023809142845,0.547722557505166,0.534522483824849,0.816496580927726,0.547722557505166,NA,0.690065559342354,0.755928946018454,0.632455532033676,0.517549169506766,0.755928946018454,1.09544511501033,0.707106781186547,0.983192080250175
"public watershed education approaches and knowledge",0.816496580927726,0.534522483824849,0.726483157256779,0.786795792469443,0.534522483824849,1.09544511501033,0.755928946018454,0.983192080250175,0.951189731211342,0.632455532033676,0.894427190999916,0.600925212577332,NA,0.744023809142845,0.752772652709081,0.755928946018454,0.991031208965115,0.836660026534076,0.600925212577332,0.752772652709081
"social capital including trust, collaboration, and partnership",0.983192080250175,0.690065559342354,0.866025403784439,0.786795792469443,0.786795792469443,0.752772652709081,0.925820099772551,0.894427190999916,0.786795792469443,0.408248290463863,0.447213595499958,0.707106781186548,0.899735410842437,NA,0.894427190999916,0.707106781186548,0.83452296039628,0.836660026534076,0.726483157256779,0.516397779494322
"soil structure and function",0.516397779494322,0.690065559342354,0.5,0.755928946018455,0.534522483824849,0.632455532033676,0.462910049886276,0.547722557505166,0.755928946018455,0.516397779494322,0.547722557505166,0.52704627669473,0.377964473009227,0.755928946018454,NA,0.517549169506766,0.925820099772551,0.894427190999916,0.881917103688197,0.836660026534076
"technical innovations",1.16904519445001,0.690065559342354,1,0.577350269189626,0.975900072948533,0.836660026534076,0.83452296039628,0.408248290463863,0.755928946018455,0.894427190999916,0.547722557505166,0.833333333333333,0.690065559342354,0.83452296039628,0.752772652709081,NA,0.534522483824849,0.707106781186548,0.927960727138337,0.516397779494322
"water quality, quantity, and availability",1.09544511501033,0.487950036474267,0.600925212577332,0.786795792469443,0.534522483824849,0.547722557505166,0.462910049886276,0.516397779494322,0.534522483824849,0.408248290463863,0.447213595499958,0.52704627669473,0.487950036474267,0.640869944461656,0.816496580927726,0.744023809142845,NA,0.894427190999916,0.333333333333333,0.516397779494322
"watershed economics",0.632455532033676,0.755928946018455,0.440958551844098,0.816496580927726,0.786795792469443,0.836660026534076,0.707106781186548,0.836660026534076,0.487950036474267,0.836660026534076,0.836660026534076,0.600925212577332,0.534522483824849,0.755928946018454,0.752772652709081,0.83452296039628,0.534522483824849,NA,0.866025403784439,0.816496580927726
"weather and climate regimes",0.752772652709081,0.816496580927726,0.781735959970572,0.755928946018455,0.690065559342354,0.836660026534076,0.755928946018454,0.752772652709081,0.690065559342354,0.983192080250175,0.547722557505166,1,0.816496580927726,0.755928946018454,0.752772652709081,0.517549169506766,0.755928946018454,0.836660026534076,NA,0.752772652709081
"the wildfire regime",0.816496580927726,0.755928946018455,0.97182531580755,0.786795792469443,0.534522483824849,0.816496580927726,0.640869944461656,0.547722557505166,0.534522483824849,0.547722557505166,0.707106781186548,0.333333333333333,0.377964473009227,0.517549169506766,0.752772652709081,0.707106781186548,0.744023809142845,0.547722557505166,0.333333333333333,NA
"adaptive capacity",NA,0.577350269189626,0.707106781186548,0.534522483824849,0.690065559342354,0.632455532033676,0.744023809142845,0.894427190999916,0.755928946018455,0.752772652709081,0.707106781186548,0.5,0.690065559342354,0.755928946018454,0.983192080250175,0.991031208965115,0.744023809142845,0.707106781186548,0.707106781186547,0.816496580927726
